"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","UNEMPFORECAST","TOT","PC_LF","A","1960",5.56164344230916,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1961",6.67944958534372,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1962",5.54769521602298,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1963",5.6434262532115,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1964",5.16690670945244,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1965",4.50616288652406,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1966",3.78453904844681,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1967",3.84217580362261,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1968",3.55406156533707,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1969",3.5068009966328,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1970",4.98493789460653,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1971",5.9515226456128,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1972",5.60369761677643,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1973",4.87563005159712,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1974",5.62466080341684,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1975",8.46709762734639,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1976",7.69434775976593,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1977",7.03841523475977,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1978",6.05192863704649,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1979",5.84536893611649,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1980",7.17058973831648,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1981",7.61560940748142,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1982",9.71926686919706,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1983",9.58948127501055,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1984",7.51250383519453,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1985",7.1997944586099,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1986",6.99644379261845,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1987",6.18550249820266,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1988",5.50386014706366,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1989",5.26736499870812,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1990",5.61035039860158,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1991",6.83788530624332,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1992",7.502916037,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1993",6.90996913994365,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1994",6.08599989825507,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1995",5.5979347290749,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1996",5.39829477763988,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1997",4.93662311110459,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1998",4.50604603191704,
"USA","UNEMPFORECAST","TOT","PC_LF","A","1999",4.21796779665172,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2000",3.98713288903928,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2001",4.75038936905115,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2002",5.78171553029933,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2003",5.98653920320548,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2004",5.52303999592889,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2005",5.07678052102463,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2006",4.6174650752433,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2007",4.61910543642177,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2008",5.79849761779919,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2009",9.27084920946331,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2010",9.62280877038789,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2011",8.94295800777223,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2012",8.06539383530338,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2013",7.37259822927224,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2014",6.15800919594044,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2015",5.27778912071495,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2016",4.86915325219212,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2017",4.35677335650929,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2018",3.89621808167677,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2019",3.66905341988903,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2020",8.05501542461895,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2021",5.35067368055381,
"USA","UNEMPFORECAST","TOT","PC_LF","A","2022",3.61417635380068,
